id,title,5th,10th,first_positive_5,second_view_1,third_rating_people_5,first_positive_5_1,second_view_1_1,third_rating_people_5_1,first_positive_5_episode,second_view_1_episode,third_rating_people_5_episode,positive,view,rating_people,positive_1,view_1,rating_people_1,positive_episode,view_episode,rating_people_episode,comment_writer_count,comment_writer,pos_keyword_1,pos_keyword_2,pos_keyword_3,neg_keyword_1,neg_keyword_2,neg_keyword_3,label,first_positive_5_story,second_view_1_story,third_rating_people_5_story,positive_story,view_story,rating_people_story,first_positive_5_omnibus,second_view_1_omnibus,third_rating_people_5_omnibus,positive_omnibus,view_omnibus,rating_people_omnibus
3955,시크릿가족,0.6348112837969693,0.5977859281756497,80.0,302018,21382.32,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,83.0,302018,12714.0,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,1240,(zzzz****),좋은,부부젤라,바른생활,왜,이게,친구한테,2,,,,,,,,,,,,
3955,시크릿가족,0.6348112837969693,0.5977859281756497,80.0,302018,21382.32,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,183.0,376140,27048.000000000004,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,1240,(zzzz****),좋은,부부젤라,바른생활,왜,이게,친구한테,2,,,,,,,,,,,,
3955,시크릿가족,0.6348112837969693,0.5977859281756497,80.0,302018,21382.32,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,71.0,272717,18629.800000000003,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,1240,(zzzz****),좋은,부부젤라,바른생활,왜,이게,친구한테,2,,,,,,,,,,,,
3955,시크릿가족,0.6348112837969693,0.5977859281756497,80.0,302018,21382.32,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,88.0,275392,18913.68,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,1240,(zzzz****),좋은,부부젤라,바른생활,왜,이게,친구한테,2,,,,,,,,,,,,
3955,시크릿가족,0.6348112837969693,0.5977859281756497,80.0,302018,21382.32,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,80.0,284698,21382.32,56.32911392405063,68165.51582278482,8794.260886075948,36.438228438228435,43800.34731934732,6269.397622377623,1240,(zzzz****),좋은,부부젤라,바른생활,왜,이게,친구한테,2,,,,,,,,,,,,
8323,블래비,0.6407189872443305,0.591977533704019,341.0,600,1253.2,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,143.0,600,2212.54,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,869,(zose****),붐업,ㅇb,최곱니다,여자,블래비님,그냥,2,,,,,,,,,,,,
8323,블래비,0.6407189872443305,0.591977533704019,341.0,600,1253.2,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,61.0,255,1860.1,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,869,(zose****),붐업,ㅇb,최곱니다,여자,블래비님,그냥,2,,,,,,,,,,,,
8323,블래비,0.6407189872443305,0.591977533704019,341.0,600,1253.2,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,50.0,200,1302.75,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,869,(zose****),붐업,ㅇb,최곱니다,여자,블래비님,그냥,2,,,,,,,,,,,,
8323,블래비,0.6407189872443305,0.591977533704019,341.0,600,1253.2,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,213.0,178,1960.15,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,869,(zose****),붐업,ㅇb,최곱니다,여자,블래비님,그냥,2,,,,,,,,,,,,
8323,블래비,0.6407189872443305,0.591977533704019,341.0,600,1253.2,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,341.0,223,1253.2,56.32911392405063,68165.51582278482,8794.260886075948,36.438228438228435,43800.34731934732,6269.397622377623,869,(zose****),붐업,ㅇb,최곱니다,여자,블래비님,그냥,2,,,,,,,,,,,,
8325,나는 고양이와 살고 있다,0.6615474022876083,0.5566732181196505,89.0,23073,4743.06,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,251.0,23073,8423.039999999999,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,1167,(zzzx****),붐업,완전,쵝오,나도,뜯는데,등록금,2,,,,,,,,,,,,
8325,나는 고양이와 살고 있다,0.6615474022876083,0.5566732181196505,89.0,23073,4743.06,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,84.0,11905,6036.68,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,1167,(zzzx****),붐업,완전,쵝오,나도,뜯는데,등록금,2,,,,,,,,,,,,
8325,나는 고양이와 살고 있다,0.6615474022876083,0.5566732181196505,89.0,23073,4743.06,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,78.0,9125,6277.32,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,1167,(zzzx****),붐업,완전,쵝오,나도,뜯는데,등록금,2,,,,,,,,,,,,
8325,나는 고양이와 살고 있다,0.6615474022876083,0.5566732181196505,89.0,23073,4743.06,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,77.0,6641,5447.05,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,1167,(zzzx****),붐업,완전,쵝오,나도,뜯는데,등록금,2,,,,,,,,,,,,
8325,나는 고양이와 살고 있다,0.6615474022876083,0.5566732181196505,89.0,23073,4743.06,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,89.0,5413,4743.06,56.32911392405063,68165.51582278482,8794.260886075948,36.438228438228435,43800.34731934732,6269.397622377623,1167,(zzzx****),붐업,완전,쵝오,나도,뜯는데,등록금,2,,,,,,,,,,,,
