rating,people,view,id
9.74,104,6840,772265
9.84,110,7239,772265
9.79,128,9013,772265
9.85,121,9703,772265
9.72,129,10541,772265
9.88,155,12649,772265
9.95,168,11327,772265
9.82,149,12418,772265
9.92,158,12535,772265
9.95,164,12674,772265
