rating,people,view,id
9.73,1602,22374,398327
9.89,1903,11562,398327
9.81,1685,9462,398327
9.78,1667,9583,398327
9.78,1751,8020,398327
9.78,1495,7906,398327
9.83,1628,7703,398327
9.76,1774,7275,398327
9.79,1613,7242,398327
9.83,1812,8092,398327
